,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,GDP_GA,pop_65_above,hosp_beds,Exports_of_goods_services,Agriculture_forestry_fishing_value_added,GDP_per_capital,Gross_capital_formation,Total_debt_service,Risk_of_impoverishing_expenditure_for_surgical_care,Air_transport_registered_carrier_departures_worldwide,High_technology_exports,date,country,Total Cases
45,2909.0,1178.0,46.0,126995.0,1635.0,33069.0,314.0,7502.0,55.0,3277624.0,152497.0,133.0,18245.0,7.0,135.0,2.0,2.25517652855038,10.838805756947,7.1,23.1289380030783,7.54058804862001,3851.56098951535,26.844782879869598,31.7301750076043,15.8,33050.0,1.06257050637448,2021-05-22,Sri Lanka,161242
46,51.0,5296.0,16.0,146800.0,84.0,2932.0,25.0,74415.0,2542.0,773531.0,371301.0,13.0,393.0,3.0,24.0,8.0,3.17415085003358,14.085422367322801,6.1,62.2961331058475,8.04681864220128,6022.24098997419,34.5425641995274,9.07263718982965,4.2,121721.2,4.22257540352762,2021-05-22,North Macedonia,155028
47,17.0,3216.0,2.4,132177.0,8.0,7835.0,483.6,2617.0,59.0,2610069.0,47686.0,382.0,17019.0,21.0,0.3,0.042,1.6944238095921498,6.01170459957569,44.7,28.041559794559397,22.1832003664849,1477.3553677879404,29.159116391167803,3.77225230617459,27.96,64320.0,2.638052182506704,2021-05-22,Myanmar,143228
48,666.0,1926.0,4.0,125032.0,874.0,8386.0,150.0,2638.0,38.0,9520966.0,185563.0,379.0,26640.0,5.0,13.0,0.08,-2.542185347472608,4.977474584508981,25.860000000000003,38.59442436846349,18.95661403552928,1815.387779880956,17.6593528925917,16.98839757883528,31.439999999999998,4283.0,1.456440925407536,2021-05-22,S. Korea,135344
49,23.0,2442.0,1.0,128601.0,176.0,1133.0,18.0,45974.0,849.0,692572.0,240895.0,22.0,1177.0,4.0,8.0,0.3,2.17369228814495,14.202630620736404,9.7,31.540216277096896,18.4633799189155,5355.84779459031,17.6593528925917,12.285198727900696,33.36,2558.0,2.638052182506704,2021-05-22,Albania,132176
50,1289.0,863.0,14.0,124020.0,1256.0,6949.0,136.0,11645.0,76.0,4104996.0,362617.0,86.0,13118.0,3.0,114.0,1.0,-0.21744848750547896,15.5649591568629,5.1,45.040638728289096,15.427873738643303,9099.673145521709,17.6593528925917,19.9481934683247,30.8,7140.0,1.06257050637448,2021-05-22,Cuba,131832
51,180.0,1240.0,1.0,120625.0,485.0,6624.0,31.0,96803.0,934.0,1389129.0,1046560.0,10.0,1070.0,1.0,136.0,0.8,4.99644378512059,19.991807780044198,2.4,72.9088248536135,2.4930042404439,23717.799451233706,27.692024160026,17.4167306583241,4.8,22.0,1.077613881077006,2021-05-22,Estonia,128489
52,62.0,783.0,3.8,91511.0,53.0,1289.0,7.0,2957.0,25.0,1138228.0,35967.0,338.0,40417.0,28.0,2.0,0.21799999999999997,6.50777478757239,3.09732217813116,46.2,35.8426561307871,17.6074862837021,2210.3559225886497,26.3385806292299,7.29087941832169,18.2,15617.0,1.13778737988711,2021-05-22,Ghana,93583
53,186.0,1267.0,1.0,91102.0,83.0,737.0,49.0,4942.0,67.0,1507886.0,80044.0,202.0,14868.0,12.0,10.0,0.05,1.44178454842219,2.11531473828777,61.7,34.636161212052606,2.86071845804113,1305.00221354087,39.2619046826583,31.1778834538454,37.08,1298.0,2.3137853727217204,2021-05-22,Zambia,93106
54,141.4,1239.0,1.6,72226.0,44.0,4268.0,385.0,2865.0,46.0,1518411.0,55969.0,349.0,21896.0,18.0,7.6,0.09,3.72071142252399,2.72364990775371,74.8,20.2146871485153,14.507663541522401,1507.44979812212,22.594231470815892,14.7042191791537,41.8,4724.0,2.3137853727217204,2021-05-22,Cameroon,77733
55,248.0,2802.0,10.0,55889.0,99.0,7043.0,1124.0,1656.0,71.0,443839.0,11179.0,604.0,14170.0,89.0,6.0,0.3,3.911603419423,2.61579421390507,60.3,17.892848167167422,25.7739707394105,507.103391875763,18.798465329745436,2.97396271923147,41.52,7334.0,4.95468911174707,2021-05-22,Afghanistan,65734
